PlateName,Row,Column ,1442.74,1474.74, Injection Time (sec),EM/MM0,Timepoint,Fraction,% Oxidation,Turnover,,mg enzyme,uM_substrate
Plate2,2001,2,0,0,4.71,,,,,,,0.00254,9.00E-03
Plate2,2001,3,0,0,18.91,,,,,,,,
Plate2,2001,2,0,0,33.23,,,,,,,,
Plate2,2001,3,0,0,47.41,,,,,,,,
Plate2,16,14,3161668.291,0,62.39,MM0,0,0.999995572,0.00%,#VALUE!,,,
Plate2,16,16,6822257.013,0,77.25,MM0,0,0.999997655,0.00%,#VALUE!,,,
Plate2,16,18,1276361.603,0,92.12,MM0,0,0.999985898,0.00%,#VALUE!,,,
Plate2,2001,2,0,0,106.55,,,,,,,,
Plate2,2001,3,0,0,120.75,,,,,,,,
Plate2,16,20,2988524.838,0,135.74,EM,0,0.999993308,0.00%,#VALUE!,,,
Plate2,16,22,3144256.908,0,150.58,EM,0,0.999993003,0.00%,#VALUE!,,,
Plate2,16,24,2331603.598,0,165.54,EM,0,0.999989707,0.00%,#VALUE!,,,
Plate2,2001,2,0,0,180.02,,,,,,,,
Plate2,2001,3,0,0,193.72,,,,,,,,
Plate2,2001,2,0,0,208.16,,,,,,,,
Plate2,2001,3,0,0,222.38,,,,,,,,
Plate2,15,14,1226560.242,0,237.2,MM0,0.5,0.999988586,0.00%,#VALUE!,,,
Plate2,15,16,1001263.811,0,252.18,MM0,0.5,0.99998402,0.00%,#VALUE!,,,
Plate2,15,18,1898596.291,0,267.05,MM0,0.5,0.999990519,0.00%,#VALUE!,,,
Plate2,2001,2,0,0,281.54,,,,,,,,
Plate2,2001,3,0,0,295.73,,,,,,,,
Plate2,15,20,2092525.389,840603.4028,310.59,EM,0.5,0.999990442,28.66%,#VALUE!,,,
Plate2,15,22,2959603.895,1108999.428,325.55,EM,0.5,0.999992567,27.26%,#VALUE!,,,
Plate2,15,24,1619304.282,665511.3086,340.49,EM,0.5,0.999985179,29.13%,#VALUE!,,,
Plate2,2001,2,0,0,354.8,,,,,,,,
Plate2,2001,3,0,0,369.11,,,,,,,,
Plate2,2001,2,0,0,383.41,,,,,,,,
Plate2,2001,3,0,0,397.73,,,,,,,,
Plate2,14,14,4683559.546,0,412.55,MM0,1,0.999997011,0.00%,#VALUE!,,,
Plate2,14,16,5435850.733,0,427.49,MM0,1,0.999997057,0.00%,#VALUE!,,,
Plate2,14,18,4505791.354,0,442.34,MM0,1,0.999996005,0.00%,#VALUE!,,,
Plate2,2001,2,0,0,456.78,,,,,,,,
Plate2,2001,3,0,0,470.94,,,,,,,,
Plate2,14,20,2083337.975,2620001.523,485.8,EM,1,0.9999904,55.71%,#VALUE!,,,
Plate2,14,22,1930828.801,2491347.346,500.81,EM,1,0.999988606,56.34%,#VALUE!,,,
Plate2,14,24,1144101.063,1728216.434,515.67,EM,1,0.999979023,60.17%,#VALUE!,,,
Plate2,2001,2,0,0,530.11,,,,,,,,
Plate2,2001,3,0,0,544.27,,,,,,,,
Plate2,2001,2,0,0,558.71,,,,,,,,
Plate2,2001,3,0,0,572.92,,,,,,,,
Plate2,13,14,5581512.478,0,587.77,MM0,1.5,0.999997492,0.00%,#VALUE!,,,
Plate2,13,16,961080.1709,0,602.68,MM0,1.5,0.999983352,0.00%,#VALUE!,,,
Plate2,13,18,1128305.047,0,617.66,MM0,1.5,0.999984047,0.00%,#VALUE!,,,
Plate2,2001,2,0,0,631.99,,,,,,,,
Plate2,2001,3,0,0,646.15,,,,,,,,
Plate2,13,20,926132.1875,3354487.186,661.13,EM,1.5,0.999978405,78.36%,#VALUE!,,,
Plate2,13,22,982838.0508,3323864.066,675.96,EM,1.5,0.999977616,77.18%,#VALUE!,,,
Plate2,13,24,779293.8242,3083260.651,690.93,EM,1.5,0.999969204,79.82%,#VALUE!,,,
Plate2,2001,2,0,0,705.27,,,,,,,,
Plate2,2001,3,0,0,719.51,,,,,,,,
Plate2,2001,2,0,0,733.86,,,,,,,,
Plate2,2001,3,0,0,748.07,,,,,,,,
Plate2,12,14,5956591.412,0,762.94,MM0,3,0.99999765,0.00%,#VALUE!,,,
Plate2,12,16,979670.0488,0,777.98,MM0,3,0.999983668,0.00%,#VALUE!,,,
Plate2,12,18,1900403.65,0,792.84,MM0,3,0.999990528,0.00%,#VALUE!,,,
Plate2,2001,2,0,0,807.3,,,,,,,,
Plate2,2001,3,0,0,821.37,,,,,,,,
Plate2,12,20,208653.6172,3944359.881,836.35,EM,3,0.999904157,94.98%,#VALUE!,,,
Plate2,12,22,207436.0684,3964538.546,851.19,EM,3,0.999893954,95.03%,#VALUE!,,,
