PlateName,Row,Column ,1442.73,1474.73, Injection Time (sec),EM/MM0,Timepoint,Fraction,% Oxidation,Turnover,,mg enzyme,uM_substrate
Plate2,2001,2,0,0,7.27,,,,,,,0.00262,9.00E-03
Plate2,2001,3,0,0,21.47,,,,,,,,
Plate2,2001,2,0,0,35.9,,,,,,,,
Plate2,2001,3,0,0,50.1,,,,,,,,
Plate2,16,14,4521019.422,0,64.95,MM0,0,0.999996903,0.00%,#VALUE!,,,
Plate2,16,16,6738881.088,0,79.93,MM0,0,0.999997626,0.00%,#VALUE!,,,
Plate2,16,18,6071822.635,0,94.77,MM0,0,0.999997035,0.00%,#VALUE!,,,
Plate2,2001,2,0,0,109.19,,,,,,,,
Plate2,2001,3,0,0,123.37,,,,,,,,
Plate2,16,20,5926140.773,0,138.31,EM,0,0.999996625,0.00%,#VALUE!,,,
Plate2,16,22,5775633.883,0,153.23,EM,0,0.999996191,0.00%,#VALUE!,,,
Plate2,16,24,3163035.082,0,168.06,EM,0,0.999992412,0.00%,#VALUE!,,,
Plate2,2001,2,0,0,182.55,,,,,,,,
Plate2,2001,3,0,0,196.79,,,,,,,,
Plate2,2001,2,0,0,211.14,,,,,,,,
Plate2,2001,3,0,0,225.35,,,,,,,,
Plate2,15,14,5622984.762,0,240.22,MM0,0.5,0.99999751,0.00%,#VALUE!,,,
Plate2,15,16,5410107.992,0,255.22,MM0,0.5,0.999997043,0.00%,#VALUE!,,,
Plate2,15,18,4968653.438,0,270.06,MM0,0.5,0.999996377,0.00%,#VALUE!,,,
Plate2,2001,2,0,0,284.42,,,,,,,,
Plate2,2001,3,0,0,298.58,,,,,,,,
Plate2,15,20,5137733.398,0,313.54,EM,0.5,0.999996107,0.00%,#VALUE!,,,
Plate2,15,22,5045004.313,0,328.52,EM,0.5,0.999995639,0.00%,#VALUE!,,,
Plate2,15,24,4961078.811,0,343.37,EM,0.5,0.999995162,0.00%,#VALUE!,,,
Plate2,2001,2,0,0,357.85,,,,,,,,
Plate2,2001,3,0,0,371.94,,,,,,,,
Plate2,2001,2,0,0,386.41,,,,,,,,
Plate2,2001,3,0,0,400.59,,,,,,,,
Plate2,14,14,4319196.742,0,415.56,MM0,1,0.999996759,0.00%,#VALUE!,,,
Plate2,14,16,4372870.047,0,430.4,MM0,1,0.999996341,0.00%,#VALUE!,,,
Plate2,14,18,4429269.143,0,445.4,MM0,1,0.999995936,0.00%,#VALUE!,,,
Plate2,2001,2,0,0,459.78,,,,,,,,
Plate2,2001,3,0,0,473.98,,,,,,,,
Plate2,14,20,4912278.492,39682.56787,488.86,EM,1,0.999995929,0.80%,#VALUE!,,,
