PlateName,Row,Column ,1442.73,1474.73, Injection Time (sec),EM/MM0,Timepoint,Fraction,% Oxidation,Turnover
30.01.26_FsPCO_sml_lrg_wash,2001,2,1108037.773,0,183.18,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,6821108.369,0,197.09,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,2,0,0,211.57,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,0,0,225.77,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,2,0,0,240.21,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,0,0,254.39,,,,,
30.01.26_FsPCO_sml_lrg_wash,16,1,1702563.566,60702.15137,269.23,EM,0,0.999999413,3.44%,1.22E-01
30.01.26_FsPCO_sml_lrg_wash,16,3,675368.7148,0,284.21,EM,0,0.999995558,0.00%,0.00E+00
30.01.26_FsPCO_sml_lrg_wash,16,5,922373.5176,31864.87842,299.16,EM,0,0.999994579,3.34%,1.18E-01
30.01.26_FsPCO_sml_lrg_wash,2001,2,0,0,313.46,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,0,0,327.66,,,,,
30.01.26_FsPCO_sml_lrg_wash,16,7,1145631.277,0,342.63,MM0,0,1309292.888,0.00%,0.00E+00
30.01.26_FsPCO_sml_lrg_wash,16,9,1223234.064,0,357.54,MM0,0,1359148.961,0.00%,0.00E+00
30.01.26_FsPCO_sml_lrg_wash,16,11,1928819.891,0,372.49,MM0,0,2104167.153,0.00%,0.00E+00
30.01.26_FsPCO_sml_lrg_wash,2001,2,0,0,386.82,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,0,0,401,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,2,0,0,415.44,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,0,0,429.61,,,,,
30.01.26_FsPCO_sml_lrg_wash,15,1,1282411.124,124432.3779,444.62,EM,0.5,0.99999922,8.84%,3.13E-01
30.01.26_FsPCO_sml_lrg_wash,15,3,708121.4199,54916.18213,459.45,EM,0.5,0.999995763,7.20%,2.55E-01
30.01.26_FsPCO_sml_lrg_wash,15,5,1377765.721,144315.5859,474.3,EM,0.5,0.999996371,9.48%,3.36E-01
30.01.26_FsPCO_sml_lrg_wash,2001,2,0,0,488.72,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,0,0,503.01,,,,,
30.01.26_FsPCO_sml_lrg_wash,15,7,2758438.16,0,517.82,MM0,0.5,3152500.754,0.00%,0.00E+00
30.01.26_FsPCO_sml_lrg_wash,15,9,1837446.246,0,532.79,MM0,0.5,2041606.94,0.00%,0.00E+00
30.01.26_FsPCO_sml_lrg_wash,15,11,1170660.343,0,547.6,MM0,0.5,1277084.01,0.00%,0.00E+00
30.01.26_FsPCO_sml_lrg_wash,2001,2,0,0,562.05,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,0,0,576.23,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,2,0,0,590.7,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,0,0,604.88,,,,,
30.01.26_FsPCO_sml_lrg_wash,14,1,741198.9951,138258.1064,619.72,EM,1,0.999998651,15.72%,5.57E-01
30.01.26_FsPCO_sml_lrg_wash,14,3,1085073.787,229626.3652,634.67,EM,1,0.999997235,17.47%,6.19E-01
30.01.26_FsPCO_sml_lrg_wash,14,5,1026349.249,208434.0576,649.56,EM,1,0.999995128,16.88%,5.98E-01
30.01.26_FsPCO_sml_lrg_wash,2001,2,0,0,663.95,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,0,0,678.16,,,,,
30.01.26_FsPCO_sml_lrg_wash,14,7,2606578.251,0,693.11,MM0,1,2978946.573,0.00%,0.00E+00
30.01.26_FsPCO_sml_lrg_wash,14,9,2619398.679,0,707.92,MM0,1,2910442.976,0.00%,0.00E+00
30.01.26_FsPCO_sml_lrg_wash,14,11,1783435.637,0,722.88,MM0,1,1945566.149,0.00%,0.00E+00
30.01.26_FsPCO_sml_lrg_wash,2001,2,0,0,737.21,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,0,0,751.4,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,2,0,0,765.87,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,0,0,780.06,,,,,
30.01.26_FsPCO_sml_lrg_wash,13,1,397992.8027,221960.7837,794.92,EM,1.5,0.999997487,35.80%,1.27E+00
30.01.26_FsPCO_sml_lrg_wash,13,3,731964.8164,524887.6563,809.9,EM,1.5,0.999995901,41.76%,1.48E+00
30.01.26_FsPCO_sml_lrg_wash,13,5,826712.0254,564900.9365,824.83,EM,1.5,0.999993952,40.59%,1.44E+00
30.01.26_FsPCO_sml_lrg_wash,2001,2,0,0,839.26,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,0,0,853.47,,,,,
30.01.26_FsPCO_sml_lrg_wash,13,7,2800384.26,0,868.33,MM0,1.5,3200439.154,0.00%,0.00E+00
30.01.26_FsPCO_sml_lrg_wash,13,9,2112236.348,0,883.3,MM0,1.5,2346929.275,0.00%,0.00E+00
30.01.26_FsPCO_sml_lrg_wash,13,11,1819299.715,0,898.16,MM0,1.5,1984690.598,0.00%,0.00E+00
30.01.26_FsPCO_sml_lrg_wash,2001,2,0,0,912.62,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,0,0,926.5,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,2,0,0,940.94,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,0,0,954.88,,,,,
30.01.26_FsPCO_sml_lrg_wash,12,1,232789.0234,409153.6074,969.68,EM,3,0.999995704,63.74%,2.26E+00
30.01.26_FsPCO_sml_lrg_wash,12,3,313223.7754,557287.5293,984.64,EM,3,0.999990422,64.02%,2.27E+00
30.01.26_FsPCO_sml_lrg_wash,12,5,498117.1118,770336.9492,999.46,EM,3,0.999989962,60.73%,2.15E+00
30.01.26_FsPCO_sml_lrg_wash,2001,2,0,0,1013.92,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,0,0,1028.06,,,,,
30.01.26_FsPCO_sml_lrg_wash,12,7,3337087.768,0,1043.03,MM0,3,3813814.592,0.00%,0.00E+00
30.01.26_FsPCO_sml_lrg_wash,12,9,3012178.473,0,1057.99,MM0,3,3346864.97,0.00%,0.00E+00
30.01.26_FsPCO_sml_lrg_wash,12,11,1860405.248,0,1072.78,MM0,3,2029532.998,0.00%,0.00E+00
30.01.26_FsPCO_sml_lrg_wash,2001,2,0,0,1087.24,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,0,0,1101.53,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,2,0,0,1115.82,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,0,0,1130.04,,,,,
30.01.26_FsPCO_sml_lrg_wash,11,1,5624.537109,492991.9531,1145.02,EM,5,0.999822239,98.87%,3.50E+00
30.01.26_FsPCO_sml_lrg_wash,11,3,62340.21289,966405.2285,1159.97,EM,5,0.999951879,93.94%,3.33E+00
30.01.26_FsPCO_sml_lrg_wash,11,5,78717.42627,1079475.638,1174.79,EM,5,0.999936486,93.20%,3.30E+00
30.01.26_FsPCO_sml_lrg_wash,2001,2,0,0,1189.24,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,0,0,1203.4,,,,,
30.01.26_FsPCO_sml_lrg_wash,11,7,2712688.145,0,1218.39,MM0,5,3100215.022,0.00%,0.00E+00
30.01.26_FsPCO_sml_lrg_wash,11,9,2178221.947,0,1233.25,MM0,5,2420246.608,0.00%,0.00E+00
30.01.26_FsPCO_sml_lrg_wash,11,11,2075288.584,0,1248.2,MM0,5,2263951.183,0.00%,0.00E+00
30.01.26_FsPCO_sml_lrg_wash,2001,2,0,0,1262.5,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,0,0,1276.7,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,2,0,0,1291.11,,,,,
30.01.26_FsPCO_sml_lrg_wash,2001,3,0,0,1305.29,,,,,
30.01.26_FsPCO_sml_lrg_wash,10,1,0,388758.2764,1320.26,EM,10,0,100.00%,3.54E+00
30.01.26_FsPCO_sml_lrg_wash,10,3,41839.47607,1386014.806,1335.18,EM,10,0.999928303,97.07%,3.44E+00
30.01.26_FsPCO_sml_lrg_wash,10,5,60267.11768,1653762.323,1350,EM,10,0.999917043,96.48%,3.42E+00
