PlateName,Row,Column ,1442.73,1474.73, Injection Time (sec),EM/MM0,Timepoint,Fraction,% Oxidation,Turnover
Plate2,2001,2,0,0,3.37,,,,,
Plate2,2001,3,0,0,17.56,,,,,
Plate2,2001,2,0,0,31.91,,,,,
Plate2,2001,3,0,0,46.1,,,,,
Plate2,2001,2,0,0,60.51,,,,,
Plate2,2001,3,0,0,74.77,,,,,
Plate2,16,1,16242993.97,0,89.7,EM,0,0.999999938,0.00%,0.00E+00
Plate2,16,3,16829779.09,0,104.55,EM,0,0.999999822,0.00%,0.00E+00
Plate2,16,5,14703194.86,0,119.41,EM,0,0.99999966,0.00%,0.00E+00
Plate2,2001,2,6047.705566,0,133.85,,,,,
Plate2,2001,3,0,0,148.03,,,,,
Plate2,16,7,16444157.54,0,162.99,MM0,0,0.999999574,0.00%,0.00E+00
Plate2,16,9,16695212.4,0,177.83,MM0,0,0.999999461,0.00%,0.00E+00
Plate2,16,11,17419677.9,0,192.7,MM0,0,0.999999369,0.00%,0.00E+00
Plate2,2001,2,10786.93701,0,207.1,,,,,
Plate2,2001,3,0,0,221.39,,,,,
Plate2,2001,2,0,0,235.83,,,,,
Plate2,2001,3,0,0,250.02,,,,,
Plate2,15,1,3886308.598,0,264.97,EM,0.5,0.999999743,0.00%,0.00E+00
Plate2,15,3,6907293.686,0,279.81,EM,0.5,0.999999566,0.00%,0.00E+00
Plate2,15,5,5647528.188,0,294.72,EM,0.5,0.999999115,0.00%,0.00E+00
Plate2,2001,2,0,0,309.07,,,,,
Plate2,2001,3,0,0,323.36,,,,,
Plate2,15,7,11831140.39,0,338.21,MM0,0.5,0.999999408,0.00%,0.00E+00
Plate2,15,9,11293185.52,0,353.11,MM0,0.5,0.999999203,0.00%,0.00E+00
Plate2,15,11,10947548.86,0,367.94,MM0,0.5,0.999998995,0.00%,0.00E+00
Plate2,2001,2,0,0,382.39,,,,,
Plate2,2001,3,0,0,396.59,,,,,
Plate2,2001,2,0,0,411.03,,,,,
Plate2,2001,3,0,0,425.2,,,,,
Plate2,14,1,5740899.938,0,440.17,EM,1,0.999999826,0.00%,0.00E+00
Plate2,14,3,7347482.638,0,455,EM,1,0.999999592,0.00%,0.00E+00
Plate2,14,5,3541151.666,0,469.96,EM,1,0.999998588,0.00%,0.00E+00
Plate2,2001,2,0,0,484.4,,,,,
Plate2,2001,3,0,0,498.51,,,,,
Plate2,14,7,11847877.33,0,513.48,MM0,1,0.999999409,0.00%,0.00E+00
Plate2,14,9,11768214.04,0,528.3,MM0,1,0.999999235,0.00%,0.00E+00
Plate2,14,11,11211114.25,0,543.23,MM0,1,0.999999019,0.00%,0.00E+00
Plate2,2001,2,0,0,557.69,,,,,
Plate2,2001,3,0,0,571.89,,,,,
Plate2,2001,2,0,0,586.31,,,,,
Plate2,2001,3,0,0,600.33,,,,,
Plate2,13,1,7544974.863,37032.68408,615.14,EM,1.5,0.999999867,0.49%,1.59E-02
Plate2,13,3,7333860.119,37165.10059,630.14,EM,1.5,0.999999591,0.50%,1.64E-02
Plate2,13,5,5053171.292,10298.32764,644.99,EM,1.5,0.999999011,0.20%,6.63E-03
Plate2,2001,2,0,0,659.32,,,,,
Plate2,2001,3,0,0,673.62,,,,,
Plate2,13,7,11645849.42,0,688.45,MM0,1.5,0.999999399,0.00%,0.00E+00
Plate2,13,9,11284888.98,0,703.35,MM0,1.5,0.999999202,0.00%,0.00E+00
Plate2,13,11,10902251.54,0,718.33,MM0,1.5,0.999998991,0.00%,0.00E+00
Plate2,2001,2,0,0,732.67,,,,,
Plate2,2001,3,0,0,746.96,,,,,
Plate2,2001,2,0,0,761.36,,,,,
Plate2,2001,3,0,0,775.64,,,,,
Plate2,12,1,6011625.137,68078.20264,790.48,EM,3,0.999999834,1.12%,3.65E-02
Plate2,12,3,3627987.084,42447.36963,805.45,EM,3,0.999999173,1.16%,3.77E-02
Plate2,12,5,3674265.896,33363.18115,820.28,EM,3,0.999998639,0.90%,2.93E-02
Plate2,2001,2,0,0,834.74,,,,,
Plate2,2001,3,0,0,848.96,,,,,
Plate2,12,7,9308506.08,0,863.79,MM0,3,0.999999248,0.00%,0.00E+00
Plate2,12,9,9657895.361,0,878.75,MM0,3,0.999999068,0.00%,0.00E+00
Plate2,12,11,9949627.487,0,893.74,MM0,3,0.999998894,0.00%,0.00E+00
Plate2,2001,2,0,0,908.07,,,,,
Plate2,2001,3,0,0,922.37,,,,,
Plate2,2001,2,0,0,936.78,,,,,
Plate2,2001,3,0,0,950.97,,,,,
Plate2,11,1,6714425.809,173940.4238,965.91,EM,5,0.999999851,2.53%,8.23E-02
Plate2,11,3,5580905.947,126518.8281,980.78,EM,5,0.999999462,2.22%,7.23E-02
Plate2,11,5,5078690.132,122458.8916,995.62,EM,5,0.999999015,2.35%,7.68E-02
Plate2,2001,2,0,0,1010.04,,,,,
Plate2,2001,3,0,0,1024.34,,,,,
Plate2,11,7,10722031.47,0,1039.26,MM0,5,0.999999347,0.00%,0.00E+00
Plate2,11,9,9689670.705,0,1054.06,MM0,5,0.999999071,0.00%,0.00E+00
Plate2,11,11,9101274.613,0,1069.06,MM0,5,0.999998791,0.00%,0.00E+00
Plate2,2001,2,0,0,1083.38,,,,,
Plate2,2001,3,0,0,1097.68,,,,,
Plate2,2001,2,0,0,1112.07,,,,,
Plate2,2001,3,0,0,1126.21,,,,,
Plate2,10,1,3421978.942,163211.6211,1141.09,EM,10,0.999999708,4.55%,1.48E-01
Plate2,10,3,5096524.763,249310.5781,1156.06,EM,10,0.999999411,4.66%,1.52E-01
Plate2,10,5,4104192.678,197963.8452,1170.93,EM,10,0.999998782,4.60%,1.50E-01
Plate2,2001,2,0,0,1185.39,,,,,
Plate2,2001,3,0,0,1199.58,,,,,
