PlateName,Row,Column ,1442.74,1474.74, Injection Time (sec),EM/MM0,Timepoint,Fraction,% Oxidation,Turnover,,mg enzyme,uM_substrate
Plate1,2001,2,0,0,6.43,,,,,,,0.00264,9.00E-03
Plate1,2001,3,0,0,20.64,,,,,,,,
Plate1,2001,2,0,0,34.96,,,,,,,,
Plate1,2001,3,0,0,49.19,,,,,,,,
Plate1,2001,2,0,0,63.62,,,,,,,,
Plate1,2001,3,0,0,77.78,,,,,,,,
Plate1,16,1,11108549.44,0,92.79,MM0,0,0.99999991,0.00%,#VALUE!,,,
Plate1,16,3,6309947.122,0,107.65,MM0,0,0.999999525,0.00%,#VALUE!,,,
Plate1,16,5,9552928.689,0,122.5,MM0,0,0.999999477,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,136.96,,,,,,,,
Plate1,2001,3,0,0,151.15,,,,,,,,
Plate1,16,7,8401329.367,26872.08252,166,EM,0,0.999999167,0.32%,#VALUE!,,,
Plate1,16,9,7546794.359,0,180.97,EM,0,0.999998807,0.00%,#VALUE!,,,
Plate1,16,11,2558216.219,0,195.83,EM,0,0.9999957,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,210.3,,,,,,,,
Plate1,2001,3,0,0,224.53,,,,,,,,
Plate1,2001,2,0,0,238.9,,,,,,,,
Plate1,2001,3,0,0,253.12,,,,,,,,
Plate1,15,1,5630720.054,0,267.96,MM0,0.5,0.999999822,0.00%,#VALUE!,,,
Plate1,15,3,1794579.654,0,282.95,MM0,0.5,0.999998328,0.00%,#VALUE!,,,
Plate1,15,5,7190144.662,0,297.81,MM0,0.5,0.999999305,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,312.28,,,,,,,,
Plate1,2001,3,0,0,326.47,,,,,,,,
Plate1,15,7,1309373.119,288631.1387,341.33,EM,0.5,0.999994654,18.06%,#VALUE!,,,
Plate1,15,9,2735925.199,732558.6016,356.19,EM,0.5,0.99999671,21.12%,#VALUE!,,,
Plate1,15,11,1753216.422,445333.084,371.17,EM,0.5,0.999993726,20.26%,#VALUE!,,,
Plate1,2001,2,0,0,385.54,,,,,,,,
Plate1,2001,3,0,0,399.79,,,,,,,,
Plate1,2001,2,0,0,414.11,,,,,,,,
Plate1,2001,3,0,0,428.45,,,,,,,,
Plate1,14,1,3749253.4,0,443.32,MM0,1,0.999999733,0.00%,#VALUE!,,,
Plate1,14,3,1518348.41,0,458.2,MM0,1,0.999998024,0.00%,#VALUE!,,,
Plate1,14,5,7048402.508,0,473.18,MM0,1,0.999999291,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,487.54,,,,,,,,
Plate1,2001,3,0,0,501.76,,,,,,,,
Plate1,14,7,2508613.111,1923429.612,516.76,EM,1,0.99999721,43.40%,#VALUE!,,,
Plate1,14,9,753670.3809,668949.3848,531.6,EM,1,0.999988059,47.02%,#VALUE!,,,
Plate1,14,11,2313968.564,1895546.909,546.58,EM,1,0.999995246,45.03%,#VALUE!,,,
Plate1,2001,2,0,0,560.96,,,,,,,,
Plate1,2001,3,0,0,575.22,,,,,,,,
Plate1,2001,2,0,0,589.54,,,,,,,,
Plate1,2001,3,0,0,603.72,,,,,,,,
Plate1,13,1,1792196.129,0,618.71,MM0,1.5,0.999999442,0.00%,#VALUE!,,,
