PlateName,Row,Column ,1442.73,1474.73, Injection Time (sec),EM/MM0,Timepoint,Fraction,% Oxidation,Turnover,,mg enzyme,uM_substrate
Plate2,2001,2,0,0,3.15,,,,,,,0.00276,9.00E-03
Plate2,2001,3,0,0,17.3,,,,,,,,
Plate2,2001,2,0,0,31.78,,,,,,,,
Plate2,2001,3,0,0,45.92,,,,,,,,
Plate2,2001,2,0,0,60.3,,,,,,,,
Plate2,2001,3,0,0,74.5,,,,,,,,
Plate2,16,1,5330856.978,0,89.48,MM0,0,0.999999812,0.00%,#VALUE!,,,
Plate2,16,3,4674528.528,0,104.42,MM0,0,0.999999358,0.00%,#VALUE!,,,
Plate2,16,5,5421380.814,0,119.28,MM0,0,0.999999078,0.00%,#VALUE!,,,
Plate2,2001,2,0,0,133.65,,,,,,,,
Plate2,2001,3,0,0,147.84,,,,,,,,
Plate2,16,7,4476777.824,0,162.68,EM,0,5116317.513,0.00%,#VALUE!,,,
Plate2,16,9,4484033.992,0,177.65,EM,0,4982259.991,0.00%,#VALUE!,,,
Plate2,16,11,4187694.281,0,192.62,EM,0,4568393.761,0.00%,#VALUE!,,,
Plate2,2001,2,0,0,206.95,,,,,,,,
Plate2,2001,3,0,0,221.16,,,,,,,,
Plate2,2001,2,0,0,235.57,,,,,,,,
Plate2,2001,3,0,0,249.75,,,,,,,,
Plate2,15,1,3983155.473,0,264.7,MM0,0.5,0.999999749,0.00%,#VALUE!,,,
Plate2,15,3,4131693.848,0,279.56,MM0,0.5,0.999999274,0.00%,#VALUE!,,,
Plate2,15,5,3851088.998,0,294.54,MM0,0.5,0.999998702,0.00%,#VALUE!,,,
Plate2,2001,2,0,0,308.88,,,,,,,,
Plate2,2001,3,0,0,323.09,,,,,,,,
Plate2,15,7,4589717.147,0,338.07,EM,0.5,5245391.025,0.00%,#VALUE!,,,
Plate2,15,9,4028373.943,10337.10059,352.93,EM,0.5,4475971.048,0.26%,#VALUE!,,,
Plate2,15,11,4093807.292,0,367.93,EM,0.5,4465971.591,0.00%,#VALUE!,,,
Plate2,2001,2,0,0,382.25,,,,,,,,
Plate2,2001,3,0,0,396.46,,,,,,,,
Plate2,2001,2,0,0,410.92,,,,,,,,
Plate2,2001,3,0,0,425.12,,,,,,,,
Plate2,14,1,4130332.331,0,439.91,MM0,1,0.999999758,0.00%,#VALUE!,,,
Plate2,14,3,3908167.112,0,454.88,MM0,1,0.999999232,0.00%,#VALUE!,,,
Plate2,14,5,4039432.807,0,469.85,MM0,1,0.999998762,0.00%,#VALUE!,,,
Plate2,2001,2,0,0,484.17,,,,,,,,
Plate2,2001,3,0,0,498.4,,,,,,,,
Plate2,14,7,4680650.754,11488.52441,513.35,EM,1,5349315.147,0.24%,#VALUE!,,,
Plate2,14,9,3778963.975,51953.10791,528.21,EM,1,4198848.861,1.36%,#VALUE!,,,
Plate2,14,11,3949360.195,42474.76855,543.09,EM,1,4308392.94,1.06%,#VALUE!,,,
Plate2,2001,2,0,0,557.56,,,,,,,,
Plate2,2001,3,0,0,571.75,,,,,,,,
Plate2,2001,2,0,0,586.18,,,,,,,,
Plate2,2001,3,0,0,600.35,,,,,,,,
Plate2,13,1,4014909.59,0,615.32,MM0,1.5,0.999999751,0.00%,#VALUE!,,,
Plate2,13,3,3859940.951,0,630.18,MM0,1.5,0.999999223,0.00%,#VALUE!,,,
Plate2,13,5,4013695.708,0,645.13,MM0,1.5,0.999998754,0.00%,#VALUE!,,,
Plate2,2001,2,0,0,659.42,,,,,,,,
Plate2,2001,3,0,0,673.74,,,,,,,,
Plate2,13,7,4630375.148,46487.27539,688.57,EM,1.5,5291857.313,0.99%,#VALUE!,,,
Plate2,13,9,3937555.727,82416.37695,703.44,EM,1.5,4375061.918,2.05%,#VALUE!,,,
Plate2,13,11,4034934.759,71308.38672,718.43,EM,1.5,4401747.01,1.74%,#VALUE!,,,
Plate2,2001,2,0,0,732.75,,,,,,,,
Plate2,2001,3,0,0,746.94,,,,,,,,
Plate2,2001,2,0,0,761.39,,,,,,,,
Plate2,2001,3,0,0,775.68,,,,,,,,
Plate2,12,1,4021067.882,0,790.54,MM0,3,0.999999751,0.00%,#VALUE!,,,
Plate2,12,3,4004736.521,0,805.38,MM0,3,0.999999251,0.00%,#VALUE!,,,
Plate2,12,5,3906270.205,0,820.32,MM0,3,0.99999872,0.00%,#VALUE!,,,
Plate2,2001,2,0,0,834.64,,,,,,,,
Plate2,2001,3,0,0,848.87,,,,,,,,
Plate2,12,7,4296533.939,105708.4653,863.86,EM,3,4910324.502,2.40%,#VALUE!,,,
Plate2,12,9,3857998.267,230142.0918,878.73,EM,3,4286664.741,5.63%,#VALUE!,,,
Plate2,12,11,4012114.994,202895.7832,893.59,EM,3,4376852.72,4.81%,#VALUE!,,,
Plate2,2001,2,0,0,908.06,,,,,,,,
Plate2,2001,3,0,0,922.25,,,,,,,,
Plate2,2001,2,0,0,936.58,,,,,,,,
Plate2,2001,3,0,0,950.79,,,,,,,,
Plate2,11,1,4015375.619,0,965.79,MM0,5,0.999999751,0.00%,#VALUE!,,,
Plate2,11,3,3706142.229,0,980.64,MM0,5,0.999999191,0.00%,#VALUE!,,,
Plate2,11,5,3776355.52,0,995.48,MM0,5,0.999998676,0.00%,#VALUE!,,,
Plate2,2001,2,0,0,1009.91,,,,,,,,
Plate2,2001,3,0,0,1024.11,,,,,,,,
Plate2,11,7,4373048.854,203218.2363,1039.08,EM,5,4997770.118,4.44%,#VALUE!,,,
Plate2,11,9,3402717.004,340605.1992,1053.92,EM,5,3780796.671,9.10%,#VALUE!,,,
Plate2,11,11,3621589.785,310362.1328,1068.75,EM,5,3950825.22,7.89%,#VALUE!,,,
Plate2,2001,2,0,0,1083.19,,,,,,,,
Plate2,2001,3,0,0,1097.39,,,,,,,,
Plate2,2001,2,0,0,1111.85,,,,,,,,
Plate2,2001,3,0,0,1126,,,,,,,,
Plate2,10,1,3832204.289,0,1140.95,MM0,10,0.999999739,0.00%,#VALUE!,,,
Plate2,10,3,3627055.491,0,1155.93,MM0,10,0.999999173,0.00%,#VALUE!,,,
Plate2,10,5,3870775.734,0,1170.75,MM0,10,0.999998708,0.00%,#VALUE!,,,
Plate2,2001,2,0,0,1185.18,,,,,,,,
Plate2,2001,3,0,0,1199.27,,,,,,,,
Plate2,10,7,4300649.834,405172.4282,1214.28,EM,10,4915028.382,8.61%,#VALUE!,,,
Plate2,10,9,3246009.012,617991.0391,1228.9,EM,10,3606676.68,15.99%,#VALUE!,,,
Plate2,10,11,3370918.581,579481.0078,1243.58,EM,10,3677365.725,14.67%,#VALUE!,,,
Plate2,2001,2,0,0,1258.01,,,,,,,,
Plate2,2001,3,0,0,1272.19,,,,,,,,
Plate2,2001,2,0,0,1286.65,,,,,,,,
Plate2,2001,3,0,0,1300.85,,,,,,,,
Plate2,9,1,2145998.033,0,1315.81,MM0,20,0.999999534,0.00%,#VALUE!,,,
