PlateName,Row,Column ,1442.73,1474.73, Injection Time (sec),EM/MM0,Timepoint,Fraction,% Oxidation,Turnover
Plate1,2001,2,0,0,5.49,,,,,
Plate1,2001,3,0,0,19.78,,,,,
Plate1,2001,2,0,0,34.09,,,,,
Plate1,2001,3,0,0,48.4,,,,,
Plate1,16,14,3511395.799,0,63.24,EM,0,0.999996013,0.00%,0.00E+00
Plate1,16,16,3319217.18,0,78.1,EM,0,0.99999518,0.00%,0.00E+00
Plate1,16,18,3233791.738,0,93.08,EM,0,0.999994434,0.00%,0.00E+00
Plate1,2001,2,0,0,107.5,,,,,
Plate1,2001,3,0,0,121.71,,,,,
Plate1,16,20,4420891.791,0,136.58,MM0,0,0.999995476,0.00%,0.00E+00
Plate1,16,22,4800788.38,0,151.54,MM0,0,0.999995417,0.00%,0.00E+00
Plate1,16,24,4121004.352,0,166.37,MM0,0,0.999994176,0.00%,0.00E+00
Plate1,2001,2,0,0,180.8,,,,,
Plate1,2001,3,0,0,194.98,,,,,
Plate1,2001,2,0,0,209.44,,,,,
Plate1,2001,3,0,0,223.62,,,,,
Plate1,15,14,14093004.62,11946.74658,238.47,EM,0.5,0.999999007,0.08%,2.91E-03
Plate1,15,16,16517607.95,44622.07959,253.42,EM,0.5,0.999999031,0.27%,9.25E-03
Plate1,15,18,16375964.03,37309.89258,268.34,EM,0.5,0.999998901,0.23%,7.81E-03
Plate1,2001,2,51982.95264,0,282.78,,,,,
Plate1,2001,3,0,0,296.96,,,,,
Plate1,15,20,20109088.28,0,311.8,MM0,0.5,0.999999005,0.00%,0.00E+00
Plate1,15,22,18285051.42,0,326.73,MM0,0.5,0.999998797,0.00%,0.00E+00
Plate1,15,24,19830796.59,0,341.67,MM0,0.5,0.99999879,0.00%,0.00E+00
Plate1,2001,2,73736.57813,0,356.1,,,,,
Plate1,2001,3,0,0,370.29,,,,,
Plate1,2001,2,0,0,384.58,,,,,
Plate1,2001,3,0,0,398.88,,,,,
Plate1,14,14,5218565.287,132110.9648,413.77,EM,1,0.999997317,2.47%,8.48E-02
Plate1,14,16,9122386.856,235625.8516,428.61,EM,1,0.999998246,2.52%,8.65E-02
Plate1,14,18,8917996.832,236231.9492,443.45,EM,1,0.999997982,2.58%,8.86E-02
Plate1,2001,2,0,0,457.99,,,,,
Plate1,2001,3,0,0,472.13,,,,,
Plate1,14,20,14584146.08,0,487.11,MM0,1,0.999998629,0.00%,0.00E+00
