PlateName,Row,Column ,1442.74,1474.74, Injection Time (sec),EM/MM0,Timepoint,Fraction,% Oxidation,Turnover,,mg enzyme,uM_substrate
Plate1,2001,2,0,0,4.83,,,,,,,0.00264,9.00E-03
Plate1,2001,3,0,0,19.02,,,,,,,,
Plate1,2001,2,0,0,33.46,,,,,,,,
Plate1,2001,3,0,0,47.66,,,,,,,,
Plate1,16,14,9402114.261,0,62.51,MM0,0,0,0.00%,#VALUE!,,,
Plate1,16,16,11657077.9,0,77.46,MM0,0,0,0.00%,#VALUE!,,,
Plate1,16,18,11475995.19,0,92.34,MM0,0,0,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,106.8,,,,,,,,
Plate1,2001,3,0,0,120.97,,,,,,,,
Plate1,16,20,11362096.97,0,135.92,EM,0,0,0.00%,#VALUE!,,,
Plate1,16,22,3899167.957,0,150.74,EM,0,0,0.00%,#VALUE!,,,
Plate1,16,24,10264147.06,0,165.72,EM,0,0,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,180.09,,,,,,,,
Plate1,2001,3,0,0,194.29,,,,,,,,
Plate1,2001,2,0,0,208.6,,,,,,,,
Plate1,2001,3,0,0,222.91,,,,,,,,
Plate1,15,14,60866.49805,0,237.78,MM0,0.5,0,0.00%,#VALUE!,,,
Plate1,15,16,0,0,252.68,MM0,0.5,#DIV/0!,#DIV/0!,#DIV/0!,,,
Plate1,15,18,0,0,267.68,MM0,0.5,#DIV/0!,#DIV/0!,#DIV/0!,,,
Plate1,2001,2,0,0,282.03,,,,,,,,
Plate1,2001,3,0,0,296.27,,,,,,,,
Plate1,15,20,0,0,311.12,EM,0.5,0,#DIV/0!,#DIV/0!,,,
Plate1,15,22,0,0,325.95,EM,0.5,0,#DIV/0!,#DIV/0!,,,
Plate1,15,24,1005228.219,0,340.92,EM,0.5,0.999976125,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,355.33,,,,,,,,
Plate1,2001,3,0,0,369.54,,,,,,,,
Plate1,2001,2,0,0,383.87,,,,,,,,
Plate1,2001,3,0,0,398.17,,,,,,,,
Plate1,14,14,10228151,0,412.99,MM0,1,0.999998631,0.00%,#VALUE!,,,
Plate1,14,16,10156317.37,0,427.98,MM0,1,0.999998425,0.00%,#VALUE!,,,
Plate1,14,18,9218927.104,0,442.84,MM0,1,0.999998047,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,457.28,,,,,,,,
Plate1,2001,3,0,0,471.48,,,,,,,,
Plate1,14,20,9943131.59,0,486.44,EM,1,0.999997989,0.00%,#VALUE!,,,
Plate1,14,22,6226898.026,0,501.28,EM,1,0.999996467,0.00%,#VALUE!,,,
Plate1,14,24,1779003.669,0,516.25,EM,1,0.999986509,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,530.56,,,,,,,,
Plate1,2001,3,0,0,544.72,,,,,,,,
Plate1,2001,2,0,0,559.14,,,,,,,,
Plate1,2001,3,0,0,573.44,,,,,,,,
Plate1,13,14,10344785.82,0,588.25,MM0,1.5,0.999998647,0.00%,#VALUE!,,,
Plate1,13,16,10070155.29,0,603.18,MM0,1.5,0.999998411,0.00%,#VALUE!,,,
Plate1,13,18,9057417.887,0,618.11,MM0,1.5,0.999998013,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,632.42,,,,,,,,
Plate1,2001,3,0,0,646.74,,,,,,,,
Plate1,13,20,10863621.54,0,661.56,EM,1.5,0.999998159,0.00%,#VALUE!,,,
Plate1,13,22,10130689.85,0,676.51,EM,1.5,0.999997828,0.00%,#VALUE!,,,
Plate1,13,24,10363530.44,0,691.33,EM,1.5,0.999997684,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,705.81,,,,,,,,
Plate1,2001,3,0,0,720.01,,,,,,,,
Plate1,2001,2,0,0,734.32,,,,,,,,
Plate1,2001,3,0,0,748.62,,,,,,,,
Plate1,12,14,10434159.28,0,763.45,MM0,3,0.999998658,0.00%,#VALUE!,,,
Plate1,12,16,10516652.38,0,778.44,MM0,3,0.999998479,0.00%,#VALUE!,,,
Plate1,12,18,10393976.13,0,793.33,MM0,3,0.999998268,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,807.54,,,,,,,,
Plate1,2001,3,0,0,821.7,,,,,,,,
Plate1,12,20,10741441.48,0,836.66,EM,3,0.999998138,0.00%,#VALUE!,,,
Plate1,12,22,9881561.883,0,851.51,EM,3,0.999997774,0.00%,#VALUE!,,,
Plate1,12,24,10183971.15,0,866.48,EM,3,0.999997643,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,880.94,,,,,,,,
Plate1,2001,3,0,0,895.12,,,,,,,,
Plate1,2001,2,0,0,909.56,,,,,,,,
Plate1,2001,3,0,0,923.74,,,,,,,,
Plate1,11,14,10336579.99,0,938.59,MM0,5,0.999998646,0.00%,#VALUE!,,,
Plate1,11,16,10007396.47,0,953.58,MM0,5,0.999998401,0.00%,#VALUE!,,,
Plate1,11,18,10451503.73,0,968.38,MM0,5,0.999998278,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,982.86,,,,,,,,
Plate1,2001,3,0,0,997.05,,,,,,,,
Plate1,11,20,10542482.25,0,1011.89,EM,5,11069606.37,0.00%,#VALUE!,,,
Plate1,11,22,10148046.11,0,1026.82,EM,5,10609320.93,0.00%,#VALUE!,,,
Plate1,11,24,4773119.305,0,1041.81,EM,5,4971999.276,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,1056.12,,,,,,,,
Plate1,2001,3,0,0,1070.3,,,,,,,,
Plate1,2001,2,0,0,1084.75,,,,,,,,
Plate1,2001,3,0,0,1098.92,,,,,,,,
Plate1,10,14,7163141.697,0,1113.63,MM0,10,0.999998046,0.00%,#VALUE!,,,
Plate1,10,16,4593812.552,0,1128.33,MM0,10,0.999996517,0.00%,#VALUE!,,,
Plate1,10,18,10348115.76,0,1143.08,MM0,10,0.999998261,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,1157.49,,,,,,,,
Plate1,2001,3,0,0,1171.67,,,,,,,,
Plate1,10,20,10553096.98,0,1186.41,EM,10,0.999998105,0.00%,#VALUE!,,,
Plate1,10,22,10581329.6,0,1201.11,EM,10,0.999997921,0.00%,#VALUE!,,,
Plate1,10,24,6480058.998,0,1215.82,EM,10,0.999996296,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,1230.14,,,,,,,,
Plate1,2001,3,0,0,1244.32,,,,,,,,
Plate1,2001,2,0,0,1258.73,,,,,,,,
Plate1,2001,3,0,0,1272.96,,,,,,,,
Plate1,9,14,10495806,0,1287.66,MM0,20,0.999998666,0.00%,#VALUE!,,,
Plate1,9,16,9649671.623,0,1302.36,MM0,20,0.999998342,0.00%,#VALUE!,,,
Plate1,9,18,10155979.86,0,1317.06,MM0,20,0.999998228,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,1331.51,,,,,,,,
Plate1,2001,3,0,0,1345.72,,,,,,,,
Plate1,9,20,10365780.17,10798.28516,1360.3,EM,20,0.999998071,0.10%,#VALUE!,,,
Plate1,9,22,9948467.288,11069.03418,1374.99,EM,20,0.999997789,0.11%,#VALUE!,,,
Plate1,9,24,5211122.753,0,1389.76,EM,20,0.999995394,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,1404.1,,,,,,,,
Plate1,2001,3,0,0,1418.33,,,,,,,,
Plate1,2001,2,0,0,1432.67,,,,,,,,
Plate1,2001,3,0,0,1446.98,,,,,,,,
Plate1,2001,2,0,0,1461.27,,,,,,,,
Plate1,2001,3,0,0,1475.5,,,,,,,,
Plate1,8,14,9206513.516,0,1490.21,MM0,40,0.999998479,0.00%,#VALUE!,,,
Plate1,8,16,9337304.564,0,1504.92,MM0,40,0.999998286,0.00%,#VALUE!,,,
Plate1,8,18,9684037.872,0,1519.62,MM0,40,0.999998141,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,1533.93,,,,,,,,
Plate1,2001,3,0,0,1548.12,,,,,,,,
Plate1,2001,2,0,0,1562.59,,,,,,,,
Plate1,2001,3,0,0,1576.76,,,,,,,,
Plate1,8,20,9381834.877,50280.01123,1591.46,EM,40,0.999997868,0.53%,#VALUE!,,,
Plate1,8,22,5626029.746,11965.50488,1606.2,EM,40,0.99999609,0.21%,#VALUE!,,,
Plate1,8,24,7014002.16,41557.87988,1620.78,EM,40,0.999996578,0.59%,#VALUE!,,,
Plate1,2001,2,0,0,1635.22,,,,,,,,
Plate1,2001,3,0,0,1649.49,,,,,,,,
Plate1,2001,2,0,0,1663.8,,,,,,,,
Plate1,2001,3,0,0,1677.99,,,,,,,,
Plate1,7,14,4649935.309,0,1692.68,MM0,60,0.999996989,0.00%,#VALUE!,,,
Plate1,7,16,5883668.944,0,1707.41,MM0,60,0.999997281,0.00%,#VALUE!,,,
Plate1,7,18,9189944.291,0,1722.08,MM0,60,0.999998041,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,1736.53,,,,,,,,
Plate1,2001,3,0,0,1750.71,,,,,,,,
Plate1,2001,2,0,0,1765.14,,,,,,,,
Plate1,2001,3,0,0,1779.31,,,,,,,,
Plate1,7,20,8421928.256,84800.40771,1793.99,EM,60,0.999997625,1.00%,#VALUE!,,,
Plate1,7,22,8898158.93,92865.56543,1808.73,EM,60,0.999997528,1.03%,#VALUE!,,,
Plate1,7,24,1868820.499,0,1823.43,EM,60,0.999987158,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,1837.89,,,,,,,,
Plate1,2001,3,0,0,1852.08,,,,,,,,
Plate1,2001,2,0,0,1866.41,,,,,,,,
Plate1,2001,3,0,0,1880.6,,,,,,,,
Plate1,6,14,3416640.184,0,1895.29,MM0,90,0.999995902,0.00%,#VALUE!,,,
Plate1,6,16,8351675.4,0,1909.99,MM0,90,0.999998084,0.00%,#VALUE!,,,
Plate1,6,18,8229575.811,0,1924.71,MM0,90,0.999997813,0.00%,#VALUE!,,,
Plate1,2001,2,0,0,1939.14,,,,,,,,
Plate1,2001,3,0,0,1953.34,,,,,,,,
Plate1,2001,2,0,0,1967.78,,,,,,,,
Plate1,2001,3,0,0,1981.95,,,,,,,,
Plate1,6,20,8000261.217,155454.9043,1996.64,EM,90,0.9999975,1.91%,#VALUE!,,,
Plate1,6,22,8645710.796,155575.5557,2011.35,EM,90,0.999997455,1.77%,#VALUE!,,,
Plate1,6,24,7902947.861,189379.0327,2026.03,EM,90,0.999996963,2.34%,#VALUE!,,,
Plate1,2001,2,0,0,2040.36,,,,,,,,
Plate1,2001,3,0,0,2054.57,,,,,,,,
Plate1,2001,2,0,0,2069.01,,,,,,,,
Plate1,2001,3,0,0,2083.2,,,,,,,,
Plate1,2001,2,0,0,2097.65,,,,,,,,
Plate1,2001,3,0,0,2111.84,,,,,,,,
Plate1,5,14,1539468.846,0,2126.52,MM0,120,0.999990906,0.00%,#VALUE!,,,
Plate1,5,16,6429041.15,0,2141.24,MM0,120,0.999997511,0.00%,#VALUE!,,,
Plate1,5,18,7440379.855,11550.00049,2155.93,MM0,120,0.999997581,0.15%,#VALUE!,,,
Plate1,2001,2,0,0,2170.27,,,,,,,,
Plate1,2001,3,0,0,2184.58,,,,,,,,
Plate1,5,20,7649321.564,219306.9668,2199.24,EM,120,0.999997385,2.79%,#VALUE!,,,
Plate1,5,22,7648254.918,193665.0938,2213.97,EM,120,0.999997124,2.47%,#VALUE!,,,
Plate1,5,24,7097088.033,233001,2228.66,EM,120,0.999996618,3.18%,#VALUE!,,,
Plate1,2001,2,0,0,2242.98,,,,,,,,
Plate1,2001,3,0,0,2257.18,,,,,,,,
Plate1,2001,2,0,0,2271.65,,,,,,,,
Plate1,2001,3,0,0,2285.81,,,,,,,,
Plate1,4,14,0,0,2300.56,MM0,300,0,#DIV/0!,#DIV/0!,,,
Plate1,4,16,0,0,2315.28,MM0,300,0,#DIV/0!,#DIV/0!,,,
Plate1,4,18,0,0,2329.98,MM0,300,0,#DIV/0!,#DIV/0!,,,
Plate1,2001,2,0,0,2344.32,,,,,,,,
Plate1,2001,3,0,0,2358.6,,,,,,,,
Plate1,4,20,0,0,2373.21,EM,300,0,#DIV/0!,#DIV/0!,,,
Plate1,4,22,0,0,2387.94,EM,300,0,#DIV/0!,#DIV/0!,,,
Plate1,4,24,0,0,2402.64,EM,300,0,#DIV/0!,#DIV/0!,,,
Plate1,2001,2,0,0,2417.08,,,,,,,,
Plate1,2001,3,0,0,2431.25,,,,,,,,
Plate1,2001,2,0,0,2445.59,,,,,,,,
Plate1,2001,3,0,0,2459.89,,,,,,,,
