PlateName,Row,Column ,1442.73,1474.73, Injection Time (sec),EM/MM0,Timepoint,Fraction,% Oxidation,Turnover
Plate1,2001,2,0,0,7.28,,,,,
Plate1,2001,3,0,0,21.43,,,,,
Plate1,2001,2,0,0,35.87,,,,,
Plate1,2001,3,0,0,50.05,,,,,
Plate1,2001,2,0,0,64.34,,,,,
Plate1,2001,3,0,0,78.53,,,,,
Plate1,16,1,14193985.31,0,93.46,EM,0,0.99999993,0.00%,0.00E+00
Plate1,16,3,14463137.98,0,108.32,EM,0,0.999999793,0.00%,0.00E+00
Plate1,16,5,14518197.38,0,123.28,EM,0,0.999999656,0.00%,0.00E+00
Plate1,2001,2,5316.411133,0,137.7,,,,,
Plate1,2001,3,0,0,151.89,,,,,
Plate1,16,7,18200829.81,0,166.75,MM0,0,0.999999615,0.00%,0.00E+00
Plate1,16,9,16146250.07,0,181.72,MM0,0,0.999999443,0.00%,0.00E+00
Plate1,16,11,17024967.28,0,196.55,MM0,0,0.999999354,0.00%,0.00E+00
Plate1,2001,2,11624.03711,0,211.01,,,,,
Plate1,2001,3,0,0,225.3,,,,,
Plate1,2001,2,0,0,239.61,,,,,
Plate1,2001,3,0,0,253.76,,,,,
Plate1,15,1,10367644.58,0,268.73,EM,0.5,0.999999904,0.00%,0.00E+00
Plate1,15,3,8287230.371,0,283.61,EM,0.5,0.999999638,0.00%,0.00E+00
Plate1,15,5,8993250.28,0,298.56,EM,0.5,0.999999444,0.00%,0.00E+00
Plate1,2001,2,0,0,313.03,,,,,
Plate1,2001,3,0,0,327.22,,,,,
Plate1,15,7,13324440.42,0,342.04,MM0,0.5,0.999999475,0.00%,0.00E+00
Plate1,15,9,12310514.11,0,357.02,MM0,0.5,0.999999269,0.00%,0.00E+00
Plate1,15,11,13076423.63,0,371.84,MM0,0.5,0.999999159,0.00%,0.00E+00
Plate1,2001,2,0,0,386.27,,,,,
Plate1,2001,3,0,0,400.44,,,,,
Plate1,2001,2,0,0,414.88,,,,,
Plate1,2001,3,0,0,429.09,,,,,
Plate1,14,1,10051361.09,0,444.06,EM,1,0.999999901,0.00%,0.00E+00
Plate1,14,3,10574248.74,0,458.93,EM,1,0.999999716,0.00%,0.00E+00
Plate1,14,5,10881566.75,0,473.78,EM,1,0.999999541,0.00%,0.00E+00
Plate1,2001,2,0,0,488.23,,,,,
Plate1,2001,3,0,0,502.41,,,,,
Plate1,14,7,13512549.77,0,517.36,MM0,1,0.999999482,0.00%,0.00E+00
Plate1,14,9,13084255.23,0,532.31,MM0,1,0.999999312,0.00%,0.00E+00
Plate1,14,11,13053856.68,0,547.21,MM0,1,0.999999157,0.00%,0.00E+00
Plate1,2001,2,0,0,561.55,,,,,
Plate1,2001,3,0,0,575.86,,,,,
Plate1,2001,2,0,0,590.27,,,,,
Plate1,2001,3,0,0,604.4,,,,,
Plate1,13,1,10188166.43,0,619.34,EM,1.5,0.999999902,0.00%,0.00E+00
Plate1,13,3,11471253.07,0,634.16,EM,1.5,0.999999738,0.00%,0.00E+00
Plate1,13,5,10931055.56,0,649.13,EM,1.5,0.999999543,0.00%,0.00E+00
Plate1,2001,2,0,0,663.58,,,,,
Plate1,2001,3,0,0,677.78,,,,,
Plate1,13,7,13053129.75,0,692.61,MM0,1.5,0.999999464,0.00%,0.00E+00
Plate1,13,9,13407328.6,0,707.48,MM0,1.5,0.999999329,0.00%,0.00E+00
Plate1,13,11,13749838.41,0,722.47,MM0,1.5,0.9999992,0.00%,0.00E+00
Plate1,2001,2,0,0,736.78,,,,,
Plate1,2001,3,0,0,751.06,,,,,
Plate1,2001,2,0,0,765.5,,,,,
Plate1,2001,3,0,0,779.67,,,,,
Plate1,12,1,10089644.33,0,794.52,EM,3,0.999999901,0.00%,0.00E+00
Plate1,12,3,12092016.29,0,809.51,EM,3,0.999999752,0.00%,0.00E+00
Plate1,12,5,11511051.84,0,824.43,EM,3,0.999999566,0.00%,0.00E+00
Plate1,2001,2,0,0,838.83,,,,,
Plate1,2001,3,0,0,853,,,,,
Plate1,12,7,12906010.74,0,867.82,MM0,3,0.999999458,0.00%,0.00E+00
Plate1,12,9,13191696.19,0,882.74,MM0,3,0.999999318,0.00%,0.00E+00
Plate1,12,11,13807827.82,0,897.7,MM0,3,0.999999203,0.00%,0.00E+00
Plate1,2001,2,0,0,912.15,,,,,
Plate1,2001,3,0,0,926.33,,,,,
Plate1,2001,2,0,0,940.68,,,,,
Plate1,2001,3,0,0,954.87,,,,,
Plate1,11,1,10722674.77,0,969.86,EM,5,0.999999907,0.00%,0.00E+00
Plate1,11,3,11516217,0,984.71,EM,5,0.999999739,0.00%,0.00E+00
Plate1,11,5,10925607.63,0,999.7,EM,5,0.999999542,0.00%,0.00E+00
Plate1,2001,2,0,0,1014.02,,,,,
Plate1,2001,3,0,0,1028.31,,,,,
Plate1,11,7,13009156.39,0,1043.13,MM0,5,0.999999462,0.00%,0.00E+00
Plate1,11,9,12687886.07,0,1058.1,MM0,5,0.999999291,0.00%,0.00E+00
Plate1,11,11,12594829.46,0,1072.95,MM0,5,0.999999127,0.00%,0.00E+00
Plate1,2001,2,0,0,1087.42,,,,,
Plate1,2001,3,0,0,1101.6,,,,,
Plate1,2001,2,0,0,1116.06,,,,,
Plate1,2001,3,0,0,1130.25,,,,,
Plate1,10,1,9588271.926,0,1145.09,EM,10,0.999999896,0.00%,0.00E+00
Plate1,10,3,11208225.69,0,1160.03,EM,10,0.999999732,0.00%,0.00E+00
Plate1,10,5,9960095.872,0,1174.95,EM,10,0.999999498,0.00%,0.00E+00
Plate1,2001,2,0,0,1189.4,,,,,
Plate1,2001,3,0,0,1203.59,,,,,
Plate1,10,7,13031495.36,0,1218.39,MM0,10,0.999999463,0.00%,0.00E+00
Plate1,10,9,12975429.4,0,1233.1,MM0,10,0.999999306,0.00%,0.00E+00
Plate1,10,11,12927864.3,0,1247.8,MM0,10,0.999999149,0.00%,0.00E+00
Plate1,2001,2,0,0,1262.23,,,,,
Plate1,2001,3,0,0,1276.43,,,,,
Plate1,2001,2,0,0,1290.75,,,,,
Plate1,2001,3,0,0,1305.05,,,,,
Plate1,9,1,8718125.658,35524.84863,1319.87,EM,20,0.999999885,0.41%,1.39E-02
Plate1,9,3,10889575.68,36914.71729,1334.8,EM,20,0.999999725,0.34%,1.16E-02
Plate1,9,5,11678493.18,43882.14307,1349.72,EM,20,0.999999572,0.37%,1.29E-02
Plate1,2001,2,0,0,1364.16,,,,,
