Well,Well Position,Sample,Target,Task,Reporter,Quencher,Amp Status,Cq,Cq Mean,Cq Confidence,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,Tm2,Tm3,Tm4,Omit
193,I1,Sample 1,ADH1,UNKNOWN,SYBR,None,AMP,33.34539567,31.30527927,0.992250737,2.514804948,TRUE,0.039999999,TRUE,3,30,84.43861389,,,,FALSE
194,I2,Sample 1,ADH1,UNKNOWN,SYBR,None,NO_AMP,40,,0,,TRUE,0.039999999,TRUE,3,39,77.7123642,87.35332489,92.06169891,,FALSE
195,I3,Sample 1,ADH1,UNKNOWN,SYBR,None,AMP,29.64089466,31.30527927,0.992882125,2.514804948,TRUE,0.039999999,TRUE,3,26,84.43861389,,,,FALSE
196,I4,Sample 1,ADH1,UNKNOWN,SYBR,None,INCONCLUSIVE,38.73567422,31.30527927,0.30970785,2.514804948,TRUE,0.039999999,TRUE,3,36,78.04867554,,,,FALSE
197,I5,Sample 1,ADH1,UNKNOWN,SYBR,None,AMP,31.76952715,31.30527927,0.992122815,2.514804948,TRUE,0.039999999,TRUE,3,28,84.3165741,,,,FALSE
198,I6,Sample 1,ADH1,UNKNOWN,SYBR,None,NO_AMP,40,,0,,TRUE,0.039999999,TRUE,3,39,90.14363098,86.8939209,92.94509888,66.83538818,FALSE
199,I7,Sample 1,ADH1,UNKNOWN,SYBR,None,AMP,34.45606611,31.30527927,0.985453201,2.514804948,TRUE,0.039999999,TRUE,3,31,84.42862701,,,,FALSE
200,I8,Sample 1,ADH1,UNKNOWN,SYBR,None,NO_AMP,40,,0,,TRUE,0.039999999,TRUE,3,39,78.26539612,72.4383316,89.58333588,93.61745453,FALSE
201,I9,Sample 1,ADH1,UNKNOWN,SYBR,None,AMP,34.45493901,31.30527927,0.985079693,2.514804948,TRUE,0.039999999,TRUE,3,31,84.44483185,,,,FALSE
202,I10,Sample 1,ADH1,UNKNOWN,SYBR,None,NO_AMP,40,,0,,TRUE,0.039999999,TRUE,3,39,88.70580292,91.95759583,81.41729736,84.44483185,FALSE
