# File Name: D:\OllieE\RT-qPCR\OE_RT-qPCR_ADH_HB_PCB_15.04.2026_Copy.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272533378
# Instrument Serial Number: 272533378
# Heated Cover Serial Number:
# Block serial number: 22252916
# Run Start Date/Time: 2026-04-15 07:55:49 PM BST
# Run End Data/Time: 2026-04-15 08:50:20 PM BST
# Run Duration: 54 minutes 31 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2026-04-15 03:14:52 PM BST
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Standard Curve v1.8.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2026-04-15 03:17:20 PM BST
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","83.31757354736328","87.35332489013672","91.27696990966797","79.0576171875","","","","","FALSE"
"2","A2","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","75.58238220214844","70.31348419189453","78.83340454101562","83.2054672241211","","","","","FALSE"
"3","A3","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","78.60919952392578","89.14698791503906","74.23713684082031","92.846435546875","","","","","FALSE"
"4","A4","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","87.35332489013672","83.42967987060547","93.63116455078125","70.76190185546875","","","","","FALSE"
"5","A5","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","87.3421630859375","83.30804443359375","93.5053939819336","79.0498046875","","","","","FALSE"
"6","A6","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","78.71363067626953","90.14363098144531","85.21304321289062","92.38481140136719","","","","","FALSE"
"7","A7","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","90.03157043457031","83.86833190917969","87.2301025390625","77.81715393066406","","","","","FALSE"
"8","A8","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","83.19598388671875","87.90245056152344","73.44686126708984","70.53333282470703","","","","","FALSE"
"9","A9","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","90.38777160644531","78.72615814208984","85.11761474609375","69.6435546875","","","","","FALSE"
"10","A10","Sample 1","","PDC1","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.03999999910593033","TRUE","3","39","85.79039764404297","78.61402893066406","91.17268371582031","82.20220947265625","","","","","FALSE"
