# File Name: D:\OllieE\RT-qPCR\OE_RT-qPCR_PpPCO_ADH_17.04.2026.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 5 System
# Block Type: 384-Well Block
# Instrument Name: 272533378
# Instrument Serial Number: 272533378
# Heated Cover Serial Number:
# Block serial number: 22252916
# Run Start Date/Time: 2026-04-17 08:50:15 PM BST
# Run End Data/Time: 2026-04-17 09:44:12 PM BST
# Run Duration: 53 minutes 57 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2026-04-17 02:48:54 PM BST
# Software Name and Version: Design & Analysis Software v2.8.0
# Plugin Name and Version: Primary Analysis v1.8.1, Standard Curve v1.8.0
# Reduce dye signal crosstalk by algorithm: No (Default)
# Exported On: 2026-04-17 04:49:37 PM BST
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","84.43852233886719","93.40693664550781","81.860107421875","79.7301025390625","","","","","FALSE"
"2","A2","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","79.61800384521484","86.4564208984375","67.3985366821289","71.77063751220703","","","","","FALSE"
"3","A3","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","83.7658920288086","86.34431457519531","81.07537078857422","62.465911865234375","","","","","FALSE"
"4","A4","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","89.5953598022461","92.06167602539062","77.60011291503906","84.77484130859375","","","","","FALSE"
"5","A5","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","82.08613586425781","90.27030944824219","73.22930145263672","92.73677062988281","","","","","FALSE"
"6","A6","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","88.70074462890625","83.767822265625","79.7317886352539","74.68675231933594","","","","","FALSE"
"7","A7","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","76.81687927246094","92.848876953125","81.30136108398438","67.39948272705078","","","","","FALSE"
"8","A8","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","88.92496490478516","83.9920425415039","79.17123413085938","92.06410217285156","","","","","FALSE"
"9","A9","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","83.11029052734375","78.95944213867188","73.35020446777344","76.60356140136719","","","","","FALSE"
"10","A10","Sample 1","","ADH","SYBR","UNKNOWN","SYBR","None","NO_AMP","UNDETERMINED","","0.0","","TRUE","0.2","TRUE","3","39","75.93045043945312","78.73507690429688","80.86659240722656","85.2417984008789","","","","","FALSE"
