Well,Sample Name,Target Name,Amp Score,Amp Status,Task,Cq,Cq Mean,Cq Standard Deviation,Quantity,Quantity Mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit
A1,Sample 1,UBQ10,1.148,Amp,UNKNOWN,21.913,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,18,FALSE
A2,Sample 1,UBQ10,1.152,Amp,UNKNOWN,21.793,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,18,FALSE
A3,Sample 1,UBQ10,1.147,Amp,UNKNOWN,21.957,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,18,FALSE
A4,Sample 1,UBQ10,1.147,Amp,UNKNOWN,21.975,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,18,FALSE
A5,Sample 1,UBQ10,1.135,Amp,UNKNOWN,22.33,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,18,FALSE
A6,Sample 1,UBQ10,1.125,Amp,UNKNOWN,22.541,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,19,FALSE
A7,Sample 1,UBQ10,1.14,Amp,UNKNOWN,24.972,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,21,FALSE
A8,Sample 1,UBQ10,1.147,Amp,UNKNOWN,24.924,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,21,FALSE
A9,Sample 1,UBQ10,1.145,Amp,UNKNOWN,22.151,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,18,FALSE
A10,Sample 1,UBQ10,1.15,Amp,UNKNOWN,22.198,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,18,FALSE
A11,Sample 1,UBQ10,1.147,Amp,UNKNOWN,20.861,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,17,FALSE
A12,Sample 1,UBQ10,1.153,Amp,UNKNOWN,20.757,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,17,FALSE
A13,Sample 1,UBQ10,1.145,Amp,UNKNOWN,21.789,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,18,FALSE
A14,Sample 1,UBQ10,1.137,Amp,UNKNOWN,21.807,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,18,FALSE
A15,Sample 1,UBQ10,1.148,Amp,UNKNOWN,21.751,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,18,FALSE
A16,Sample 1,UBQ10,1.148,Amp,UNKNOWN,21.715,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,18,FALSE
B1,Sample 1,UBQ10,1.154,Amp,UNKNOWN,19.775,25.239,6.534,-,-,-,-,-,-,-,TRUE,0.069,TRUE,3,16,FALSE
