Well,Sample Name,Target Name,Amp Score,Amp Status,Task,Cq,Cq Mean,Cq Standard Deviation,Quantity,Quantity Mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit
A17,Sample 1,Target 1,1.048,No Amp,UNKNOWN,36.508,23.692,12.72,-,-,-,-,-,-,-,FALSE,0.062,TRUE,3,33,FALSE
A18,Sample 1,Target 1,0.964,No Amp,UNKNOWN,36.911,23.692,12.72,-,-,-,-,-,-,-,FALSE,0.062,TRUE,3,33,FALSE
A19,Sample 1,Target 1,0,No Amp,UNKNOWN,Undetermined,23.692,12.72,-,-,-,-,-,-,-,FALSE,0.062,TRUE,3,39,FALSE
A20,Sample 1,Target 1,0,No Amp,UNKNOWN,Undetermined,23.692,12.72,-,-,-,-,-,-,-,FALSE,0.062,TRUE,3,39,FALSE
A21,Sample 1,Target 1,0,No Amp,UNKNOWN,Undetermined,23.692,12.72,-,-,-,-,-,-,-,FALSE,0.062,TRUE,3,39,FALSE
A22,Sample 1,Target 1,0,No Amp,UNKNOWN,34.693,23.692,12.72,-,-,-,-,-,-,-,FALSE,0.062,TRUE,3,39,FALSE
A23,Sample 1,Target 1,0,No Amp,UNKNOWN,Undetermined,23.692,12.72,-,-,-,-,-,-,-,FALSE,0.062,TRUE,3,39,FALSE
A24,Sample 1,Target 1,0,No Amp,UNKNOWN,Undetermined,23.692,12.72,-,-,-,-,-,-,-,FALSE,0.062,TRUE,3,39,FALSE
B17,Sample 1,Target 1,0,No Amp,UNKNOWN,37.364,23.692,12.72,-,-,-,-,-,-,-,FALSE,0.062,TRUE,3,39,FALSE
B18,Sample 1,Target 1,0,No Amp,UNKNOWN,Undetermined,23.692,12.72,-,-,-,-,-,-,-,FALSE,0.062,TRUE,3,39,FALSE
B19,Sample 1,Target 1,0,No Amp,UNKNOWN,Undetermined,23.692,12.72,-,-,-,-,-,-,-,FALSE,0.062,TRUE,3,39,FALSE
B20,Sample 1,Target 1,0,No Amp,UNKNOWN,Undetermined,23.692,12.72,-,-,-,-,-,-,-,FALSE,0.062,TRUE,3,39,FALSE
B21,Sample 1,Target 1,0,No Amp,UNKNOWN,Undetermined,23.692,12.72,-,-,-,-,-,-,-,FALSE,0.062,TRUE,3,39,FALSE
B22,Sample 1,Target 1,0,No Amp,UNKNOWN,35.589,23.692,12.72,-,-,-,-,-,-,-,FALSE,0.062,TRUE,3,39,FALSE
B23,Sample 1,Target 1,0,No Amp,UNKNOWN,Undetermined,23.692,12.72,-,-,-,-,-,-,-,FALSE,0.062,TRUE,3,39,FALSE
B24,Sample 1,Target 1,0,No Amp,UNKNOWN,37.308,23.692,12.72,-,-,-,-,-,-,-,FALSE,0.062,TRUE,3,39,FALSE
C17,Sample 1,Target 1,0,No Amp,UNKNOWN,30.947,23.692,12.72,-,-,-,-,-,-,-,FALSE,0.062,TRUE,3,39,FALSE
C18,Sample 1,Target 1,0,No Amp,UNKNOWN,13.097,23.692,12.72,-,-,-,-,-,-,-,FALSE,0.062,TRUE,3,39,FALSE
C19,Sample 1,Target 1,0,No Amp,UNKNOWN,Undetermined,23.692,12.72,-,-,-,-,-,-,-,FALSE,0.062,TRUE,3,39,FALSE
C20,Sample 1,Target 1,0,No Amp,UNKNOWN,Undetermined,23.692,12.72,-,-,-,-,-,-,-,FALSE,0.062,TRUE,3,39,FALSE
