Line,ADH_Sample,ADH_Rep.1,ADH_Rep.2,ADH_Avg,ADH_St.Dev,DCt,DDCt,2^-DDCt,ADH_Average,ADH_St.Dev
Pp-10-2,Pp-10-2-1,29.79825,38.57911,34.18868,6.209005651,12.45568,12.45568,0.000178019,0.001881545,0.002450063
Pp-10-2,Pp-10-2-2,30.26995,30.19986,30.234905,0.049561114,10.329405,10.329405,0.000777212,,
Pp-10-2,Pp-10-2-3,,,,,,,,,
Pp-10-2,Pp-10-2-4,28.94037,28.87839,28.90938,0.043826478,7.73638,7.73638,0.004689403,,
Pp-10-4,PP-10-4-1,34.45434,40,34.45434,3.921373792,12.27984,12.27984,0.000201094,0.001255355,0.000917812
Pp-10-4,PP-10-4-2,29.86698,40,29.86698,7.165127156,9.05798,9.05798,0.001876188,,
Pp-10-4,PP-10-4-3,31.0078,40,31.0078,6.358445598,9.2098,9.2098,0.001688783,,
4pco-1,4pco1-1,,,,,,,,0.001232454,#DIV/0!
4pco-1,4pco1-3,,,,,,,,,
4pco-1,4pco1-4,31.86497,31.22053,31.54275,0.455687894,9.66425,9.66425,0.001232454,,
4pco-2,4pco2-1,29.09774,29.18269,29.140215,0.060068721,9.076215,9.076215,0.001852623,0.001985382,0.00018775
4pco-2,4pco2-2,,,,,,,,,
4pco-2,4pco2-3,29.96359,29.72438,29.843985,0.169147013,8.882985,8.882985,0.002118142,,
WT-1,WT1-1,,,,,,,,0.001683465,0.000235799
WT-1,WT1-2,30.58584,30.01262,30.29923,0.405327749,9.45673,9.45673,0.001423117,,
WT-1,WT1-3,29.81122,29.36454,29.58788,0.315850457,9.16288,9.16288,0.00174461,,
WT-1,WT1-4,31.54657,31.97144,31.759005,0.300428458,9.053005,9.053005,0.001882669,,
WT-1,WT1-6,,,,,,,,,
WT-2,WT2-1,27.63218,27.45503,27.543605,0.125263966,7.560605,7.560605,0.005297014,0.005756661,0.005947041
WT-2,WT2-2,28.2532,27.75537,28.004285,0.352018969,5.978785,5.978785,0.015856465,,
WT-2,WT2-3,29.03284,29.53479,29.283815,0.354932249,8.421315,8.421315,0.002916967,,
WT-2,WT2-4,,,,,,,,,
WT-2,WT2-5,34.61271,34.31476,34.463735,0.210682465,11.487235,11.487235,0.000348335,,
WT-2,WT2-7,29.29452,29.6304,29.46246,0.237503026,7.83996,7.83996,0.004364524,,
Col-0,Col0-1,33.28101,32.55304,32.917025,0.514752524,11.802525,11.802525,0.000279954,0.000288462,0.00017229
Col-0,Col0-2,33.53396,32.54716,33.04056,0.697772972,10.86906,10.86906,0.000534671,,
Col-0,Col0-3,32.86551,32.63603,32.75077,0.162266864,12.58977,12.58977,0.000162219,,
Col-0,Col0-4,,,,,,,,,
Col-0,Col0-5,,,,,,,,,
Col-0,Col0-6,33.36716,32.11572,32.74144,0.88490171,12.46394,12.46394,0.000177003,,
Col-0,Col0-8,31.14283,31.29322,31.218025,0.106341789,9.299025,9.299025,,,
