UBQ10,,,,,,,,,,,,,,,
UBQ10_Sample,UBQ10_Rep.1,UBQ10_Rep.2,UBQ10_Avg,UBQ10_St.Dev,,ADH_Sample,ADH_Rep.1,ADH_Rep.2,ADH_Avg,ADH_St.Dev,DCt,DDCt,2^-DDCt,Average,St.Dev
Pp-7-23-1,21.913,21.793,21.853,0.084852814,,Pp-7-23-1,33.3454,40,36.6727,4.705512786,14.8197,5.520675,0.021782676,0.084146795,0.084146795
Pp-7-23-2,21.957,21.975,21.966,0.012727922,,Pp-7-23-2,29.64089,38.73567,34.18828,6.430980611,12.22228,2.923255,0.131829486,,
Pp-7-23-3,22.33,22.541,22.4355,0.149199531,,Pp-7-23-3,31.76953,40,35.884765,5.819821149,13.449265,4.15024,0.056318784,,
Pp-7-23-4,24.972,24.924,24.948,0.033941125,,Pp-7-23-4,34.45607,40,37.228035,3.920150497,12.280035,2.98101,0.126656235,,
Pp-7-23-5,35.279,36.277,35.778,0.705692568,,Pp-7-23-5,,,,,,,,,
Pp-7-23-6,37.608,40,38.804,1.691399421,,Pp-7-23-6,39.40023,40,39.700115,0.424101434,0.896115,-8.40291,338.476063,,
Pp-10-2-1,21.751,21.715,21.733,0.025455844,,Pp-10-2-1,29.79825,38.57911,34.18868,6.209005651,12.45568,3.156655,0.112137833,1.185222726,1.543344028
Pp-10-2-2,19.775,20.036,19.9055,0.18455487,,Pp-10-2-2,30.26995,30.19986,30.234905,0.049561114,10.329405,1.03038,0.489581178,,
Pp-10-2-3,34.839,36.228,35.5335,0.982171319,,Pp-10-2-3,,,,,,,,,
Pp-10-2-4,21.177,21.169,21.173,0.005656854,,Pp-10-2-4,28.94037,28.87839,28.90938,0.043826478,7.73638,-1.562645,2.953949168,,
PP-10-4-1,22.151,22.198,22.1745,0.033234019,,PP-10-4-1,34.45434,40,37.22717,3.921373792,15.05267,5.753645,0.018534474,0.033648068,0.014371944
PP-10-4-2,20.861,20.757,20.809,0.073539105,,PP-10-4-2,29.86698,40,34.93349,7.165127156,14.12449,4.825465,0.035268768,,
PP-10-4-3,21.789,21.807,21.798,0.012727922,,PP-10-4-3,31.0078,40,35.5039,6.358445598,13.7059,4.406875,0.047140962,,
4pco1-1,37.405,36.039,36.722,0.965907863,,4pco1-1,,,,,,,,0.776347788,#DIV/0!
4pco1-3,34.713,37.057,35.885,1.657458295,,4pco1-3,,,,,,,,,
4pco1-4,21.822,21.935,21.8785,0.079903066,,4pco1-4,31.86497,31.22053,31.54275,0.455687894,9.66425,0.365225,0.776347788,,
4pco2-1,20.013,20.115,20.064,0.072124892,,4pco2-1,29.09774,29.18269,29.140215,0.060068721,9.076215,-0.22281,1.1670044,1.250632281,0.118267684
4pco2-2,36.926,35.97,36.448,0.675994083,,4pco2-2,,,,,,,,,
4pco2-3,21.034,20.888,20.961,0.10323759,,4pco2-3,29.96359,29.72438,29.843985,0.169147013,8.882985,-0.41604,1.334260163,,
WT1-1,35.804,36.219,36.0115,0.293449314,,WT1-1,,,,,,,,1.06044853,0.148534256
WT1-2,20.809,20.876,20.8425,0.047376154,,WT1-2,30.58584,30.01262,30.29923,0.405327749,9.45673,0.157705,0.896449986,,
WT1-3,20.354,20.496,20.425,0.100409163,,WT1-3,29.81122,29.36454,29.58788,0.315850457,9.16288,-0.136145,1.098964665,,
WT1-4,22.771,22.641,22.706,0.091923882,,WT1-4,31.54657,31.97144,31.759005,0.300428458,9.053005,-0.24602,1.18593094,,
WT1-6,37.419,36.736,37.0775,0.482953932,,WT1-6,,,,,,,,,
WT2-1,20.066,19.9,19.983,0.117379726,,WT2-1,27.63218,27.45503,27.543605,0.125263966,7.560605,-1.73842,3.336695419,3.626236484,3.746160872
WT2-2,21.967,22.084,22.0255,0.082731493,,WT2-2,28.2532,27.75537,28.004285,0.352018969,5.978785,-3.32024,9.988305861,,
WT2-3,20.794,20.931,20.8625,0.096873629,,WT2-3,29.03284,29.53479,29.283815,0.354932249,8.421315,-0.87771,1.837456378,,
WT2-4,30.929,34.701,32.815,2.667206779,,WT2-4,,,,,,,,,
WT2-5,22.979,22.974,22.9765,0.003535534,,WT2-5,34.61271,34.31476,34.463735,0.210682465,11.487235,2.18821,0.219423508,,
WT2-7,21.728,21.517,21.6225,0.149199531,,WT2-7,29.29452,29.6304,29.46246,0.237503026,7.83996,-1.459065,2.749301257,,
Col0-1,21.073,21.156,21.1145,0.058689863,,Col0-1,33.28101,32.55304,32.917025,0.514752524,11.802525,2.5035,0.176348352,0.181707796,0.108529152
Col0-2,22.228,22.115,22.1715,0.079903066,,Col0-2,33.53396,32.54716,33.04056,0.697772972,10.86906,1.570035,0.336800223,,
Col0-3,20.256,20.066,20.161,0.134350288,,Col0-3,32.86551,32.63603,32.75077,0.162266864,12.58977,3.290745,0.102184976,,
Col0-4,20.591,20.524,20.5575,0.047376154,,Col0-4,,,,,,,,,
Col0-5,36.839,36.744,36.7915,0.067175144,,Col0-5,,,,,,,,,
Col0-6,20.293,20.262,20.2775,0.02192031,,Col0-6,33.36716,32.11572,32.74144,0.88490171,12.46394,3.164915,0.111497634,,
Col0-8,22.442,21.396,21.919,0.739633693,,Col0-8,31.14283,31.29322,31.218025,0.106341789,9.299025,0,,,
