Line,Sample,Plate,Day_7_Root_Length_mm,Day_14_Root_Length_mm
Col-0,1,1,32.13,113.727
Col-0,2,1,32.937,116.868
Col-0,3,1,35.975,124.76
Col-0,4,1,37.625,50.656
Col-0,5,2,37.054,115.631
Col-0,6,2,40.741,117.592
Col-0,7,2,40.271,119.002
Col-0,8,3,39.715,110.984
Col-0,9,3,29.815,107.227
Col-0,10,3,36.049,102.771
Col-0,11,3,23.164,94.597
Col-0,12,4,10.89,77.721
Col-0,13,4,32.89,104.704
Col-0,14,4,35.437,117.575
Col-0,15,4,32.191,113.392
Col-0,16,5,33.9,117.804
Col-0,17,5,41.159,119.03
Col-0,18,5,29.055,104.432
Col-0,19,6,39.768,111.081
Col-0,20,6,41.745,119.915
Col-0,21,6,32.984,107.166
Col-0,22,6,38.773,110.485
Col-0,23,6,36.051,113.471
Col-0,24,6,32.903,92.819
Pp-10-2,25,1,23.878,89.437
Pp-10-2,26,1,21.51,86.56
Pp-10-2,27,2,15.938,74.73
Pp-10-2,28,3,21.548,85.934
Pp-10-2,29,3,21.659,82.66
Pp-10-2,30,4,28.116,98.497
Pp-10-2,31,6,18.532,77.565
Pp-10-2,32,6,23.421,90.993
Pp-10-4,33,1,24.273,49.841
Pp-10-4,34,1,22.083,63.297
Pp-10-4,35,1,27.505,99.645
Pp-10-4,36,1,32.244,105.92
Pp-10-4,37,1,31.872,103.391
Pp-10-4,38,1,20.214,82.136
Pp-10-4,39,2,27.544,
Pp-10-4,40,2,19.196,
Pp-10-4,41,2,22.754,94.621
Pp-10-4,42,2,17.948,76.345
Pp-10-4,43,2,28.203,100.857
Pp-10-4,44,2,24.244,98.151
Pp-10-4,45,3,10.843,76.614
Pp-10-4,46,3,26.371,95.782
Pp-10-4,47,3,24.274,89.439
Pp-10-4,48,3,25.641,91.941
Pp-10-4,49,3,19.994,93.86
Pp-10-4,50,3,20.241,
Pp-10-4,51,4,26.316,97.631
Pp-10-4,52,4,25.526,98.178
Pp-10-4,53,4,26.13,80.892
Pp-10-4,54,4,22.368,88.378
Pp-10-4,55,4,17.003,72.886
Pp-10-4,56,4,27.523,
Pp-10-4,57,4,27.781,82.907
Pp-10-4,58,5,14.261,
Pp-10-4,59,5,28.852,48.52
Pp-10-4,60,5,26.791,76.746
Pp-10-4,61,5,23.825,
Pp-10-4,62,5,13.325,
Pp-10-4,63,6,25.164,97.446
Pp-10-4,64,6,20.417,87.922
Pp-10-4,65,6,28.015,100.073
Pp-10-4,66,6,22.234,93.649
4pco,67,1,3.901,68.568
4pco,68,1,15.407,71.64
4pco,69,2,7.969,97.319
4pco,70,2,12.329,68.154
4pco,71,2,4.557,57.536
4pco,72,3,4.22,47.752
4pco,73,3,17.305,60.304
4pco,74,4,1.692,44.788
4pco,75,4,4.803,54.223
4pco,76,6,13.455,
4pco,77,6,19.437,85.589
4pco,78,6,10.471,39.166
4pco,79,6,6.66,
4pco,80,5,16.478,83.72
4pco,81,5,17.577,27.214
4pco,82,5,21.615,71.682
4pco,83,7,16.907,76.053
4pco,84,7,11.444,64.642
4pco,85,7,7.541,75.661
4pco,86,7,12.52,78.88
4pco,87,8,25.753,97.26
4pco,88,8,28.572,93.607
4pco,89,8,5.99,38.245
4pco,90,9,18.149,55.995
4pco,91,9,12.275,24.587
4pco,92,9,4.576,72.561
4pco,93,9,7.222,82.41
4pco,94,10,9.75,53.116
4pco,95,10,7.683,54.969
4pco,96,10,10.918,76.377
4pco,97,10,10.003,
4pco,98,10,11.398,
4pco,99,11,21.104,86.888
4pco,100,11,2.334,38.301
4pco,101,12,1.411,34.3
4pco,102,12,15.961,84.128
4pco,103,12,11.357,71.477
4pco,104,12,4.695,41.211
3pco,105,1,28.048,100.699
3pco,106,1,6.724,96.773
3pco,107,1,26.382,95.509
3pco,108,1,28.092,63.431
3pco,109,1,31.873,97.736
3pco,110,2,13.784,67.446
3pco,111,2,17.781,79.127
3pco,112,2,9.245,57.54
3pco,113,2,13.17,66.467
3pco,114,2,27.32,88.475
3pco,115,2,26.103,
3pco,116,4,14.437,56.393
3pco,117,4,24.815,89.513
3pco,118,4,21.654,86.197
3pco,119,4,9.474,56.989
3pco,120,4,11.063,50.814
3pco,121,4,11.749,15.546
3pco,122,3,26.993,98.418
3pco,123,3,27.718,109.122
3pco,124,3,29.877,104.52
3pco,125,3,29.422,101.55
3pco,126,3,27.789,96.346
3pco,127,5,4.695,43.863
3pco,128,5,5.369,43.593
3pco,129,5,10.789,72.366
3pco,130,5,17.773,75.404
3pco,131,5,27.439,79.61
3pco,132,5,20.402,97.575
3pco,133,6,16.86,80.145
3pco,134,6,25.524,62.834
3pco,135,6,33.057,101.751
3pco,136,6,21.94,89.471
3pco,137,6,16.395,88.055
3pco,138,6,24.01,86.106
3pco_2,139,1,5.017,
3pco_2,140,1,13.365,
3pco_2,141,1,6.709,
3pco_2,142,1,12.011,
3pco_2,143,1,23.824,
3pco_2,144,2,18.628,80.881
3pco_2,145,2,27.055,95.295
3pco_2,146,2,22.327,96.765
3pco_2,147,2,22.451,85.984
3pco_2,148,2,20.604,82.999
3pco_2,149,2,16.729,85.344
3pco_2,150,2,26.827,83.812
3pco_2,151,3,18.769,90.542
3pco_2,152,3,26.491,84.594
3pco_2,153,3,20.638,86.143
3pco_2,154,3,22.231,95.939
3pco_2,155,3,22.015,95.437
3pco_2,156,3,23.164,96.333
3pco_2,157,3,12.848,65.017
3pco_2,158,4,29.049,99.666
3pco_2,159,4,24.036,95.007
3pco_2,160,4,24.281,102.486
3pco_2,161,4,8.062,55.663
3pco_2,162,5,30.277,105.066
3pco_2,163,5,25.31,89.919
3pco_2,164,5,23.351,93.507
3pco_2,165,5,21.108,88.921
3pco_2,166,5,20.497,89.454
3pco_2,167,5,18.27,84.286
3pco_2,168,5,18.152,82.989
3pco_2,169,6,16.255,
3pco_2,170,6,28.283,
3pco_2,171,6,24.085,
3pco_2,172,6,7.471,
3pco_2,173,6,18.222,
4pco_2,174,3,0,23.778
4pco_2,175,3,0,24.616
4pco_2,176,2,0,7.451
4pco_2,177,7,0,27.849
4pco_2,178,7,0,18.304
4pco_2,179,5,0,36.852
4pco_2,180,5,0,32.591
4pco_2,181,5,0,36.196
4pco_2,182,5,0,12.274
4pco_2,183,12,0,7.998
4pco_2,184,6,0,45.35
4pco_2,185,6,0,53.561
4pco_2,186,6,0,32.139
4pco_2,187,8,0,50.918
4pco_2,188,8,0,42.464
4pco_2,189,8,0,34.413
4pco_2,190,8,0,19.105
4pco_2,191,8,0,4.281
4pco_2,192,8,0,34.879
4pco_2,193,8,0,17.739
4pco_2,194,8,0,9.222
4pco_2,195,8,0,24.197
4pco_2,196,8,0,9.411
4pco_2,197,8,0,6.939
4pco_2,198,10,0,53.827
4pco_2,199,11,0,22.536
4pco_2,200,11,0,2.722
4pco_2,201,11,0,8.562
4pco_2,202,11,0,2.041
4pco_2,203,4,0,19.799
4pco_2,204,4,0,38.333
4pco_2,205,4,0,11.316
4pco_2,206,4,0,36.283
4pco_2,207,4,0,19.774
4pco_2,208,4,0,35.25
4pco_2,209,1,0,23.052
4pco_2,210,1,0,21.022
4pco_2,211,1,0,23.402
4pco_2,212,1,0,12.093
4pco_2,213,1,0,7.726
4pco_2,214,1,0,15.207
4pco_2,215,1,0,6.357
4pco_2,216,1,0,22.426
4pco_2,217,3,0,23.569
4pco_2,218,3,0,3.749
4pco_2,219,3,0,9.555
